,Year,Month,Day,Record Create Date,Precinct Code,Patrol Borough,County,Law Code Category,Bias Motive,Offense Category
2888,2023,Oct,Fri,2023-10-27,78,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
2889,2023,Oct,Fri,2023-10-13,83,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
2890,2023,Nov,Wed,2023-11-29,100,Queens south,QUEENS,Misdemeanor,Anti-muslim,Religion
2891,2023,Feb,Thu,2023-02-16,107,Queens south,QUEENS,Felony,Anti-jewish,Religion
2892,2023,Apr,Thu,2023-04-06,107,Queens south,QUEENS,Misdemeanor,Anti-jewish,Religion
2893,2023,Jan,Thu,2023-01-26,30,Manhattan north,NEW YORK,Misdemeanor,Anti-black,Race/Color
2894,2023,Oct,Wed,2023-11-01,46,Bronx,BRONX,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
2895,2023,Nov,Tue,2023-11-21,62,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
2896,2023,Jun,Fri,2023-06-23,68,Brooklyn south,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
2897,2023,Dec,Tue,2023-12-19,71,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
2898,2023,Oct,Mon,2023-10-30,72,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
2899,2023,Dec,Sun,2023-12-24,76,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
2900,2023,Jun,Sun,2023-06-18,79,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
2901,2023,Nov,Wed,2023-11-15,79,Brooklyn north,KINGS,Misdemeanor,Anti-asian,Race/Color
2902,2023,Jul,Tue,2023-07-11,84,Brooklyn north,KINGS,Misdemeanor,Anti-hispanic,Cultural Identity
2903,2023,Jan,Wed,2023-01-25,88,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
2904,2023,Jul,Tue,2023-07-18,90,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
2905,2023,Aug,Fri,2023-08-18,90,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
