,Year,Month,Day,Record Create Date,Precinct Code,Patrol Borough,County,Law Code Category,Bias Motive,Offense Category
0,2021,May,Sat,2021-05-01,50,Bronx,BRONX,Felony,Anti-jewish,Religion
1,2021,Dec,Tue,2021-12-28,50,Bronx,BRONX,Felony,Anti-jewish,Religion
2,2022,Oct,Tue,2022-10-11,49,Bronx,BRONX,Felony,Anti-male homosexual (gay),Sexual Orientation
3,2019,Jan,Tue,2019-01-15,61,Brooklyn south,KINGS,Felony,Anti-asian,Race/Color
4,2019,Feb,Fri,2019-02-08,71,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
5,2019,Apr,Sat,2019-04-06,94,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
6,2019,Mar,Sun,2019-03-17,70,Brooklyn south,KINGS,Misdemeanor,Anti-muslim,Religion
7,2019,Jul,Sun,2019-07-28,79,Brooklyn north,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
8,2019,Jul,Sun,2019-07-28,79,Brooklyn north,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
9,2020,May,Tue,2020-05-12,70,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
10,2020,Aug,Fri,2020-08-21,88,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
11,2020,Nov,Sat,2020-11-28,61,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
12,2020,Dec,Sat,2020-12-26,70,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
13,2021,Jun,Fri,2021-06-18,77,Brooklyn north,KINGS,Misdemeanor,Anti-asian,Race/Color
14,2021,Dec,Mon,2021-12-20,71,Brooklyn south,KINGS,Felony,Anti-black,Race/Color
15,2019,Mar,Sun,2019-03-10,48,Bronx,BRONX,Misdemeanor,Anti-white,Race/Color
16,2020,Mar,Sat,2020-03-28,44,Bronx,BRONX,Felony,Anti-asian,Race/Color
17,2020,Mar,Sat,2020-03-28,44,Bronx,BRONX,Felony,Anti-asian,Race/Color
18,2020,Jul,Sat,2020-07-18,45,Bronx,BRONX,Misdemeanor,Anti-black,Race/Color
19,2021,Apr,Sun,2021-04-25,50,Bronx,BRONX,Felony,Anti-jewish,Religion
20,2022,Feb,Tue,2022-02-15,46,Bronx,BRONX,Misdemeanor,Anti-female homosexual (lesbian),Sexual Orientation
21,2019,Jan,Sun,2019-01-06,70,Brooklyn south,KINGS,Misdemeanor,Anti-white,Race/Color
22,2019,Jun,Mon,2019-06-10,94,Brooklyn north,KINGS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
23,2019,Jun,Sat,2019-06-22,81,Brooklyn north,KINGS,Felony,Anti-transgender,Gender
24,2020,May,Sun,2020-05-10,90,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
25,2021,Apr,Mon,2021-04-05,61,Brooklyn south,KINGS,Felony,Anti-asian,Race/Color
26,2021,Jun,Tue,2021-06-15,66,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
27,2021,Sep,Sat,2021-09-04,83,Brooklyn north,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
28,2021,Oct,Fri,2021-10-08,71,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
29,2022,Feb,Wed,2022-02-09,90,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
30,2019,Mar,Sat,2019-03-09,48,Bronx,BRONX,Misdemeanor,Anti-white,Race/Color
31,2019,May,Sat,2019-05-11,42,Bronx,BRONX,Felony,Anti-muslim,Religion
32,2020,Jul,Fri,2020-07-31,40,Bronx,BRONX,Felony,Anti-asian,Race/Color
33,2020,Oct,Thu,2020-10-08,48,Bronx,BRONX,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
34,2021,Oct,Mon,2021-10-11,52,Bronx,BRONX,Felony,Anti-transgender,Gender
35,2021,Sep,Tue,2021-09-14,47,Bronx,BRONX,Felony,Anti-jewish,Religion
36,2024,Jun,Sun,2024-06-02,44,Bronx,BRONX,Felony,Anti-male homosexual (gay),Sexual Orientation
37,2024,Aug,Thu,2024-08-01,52,Bronx,BRONX,Felony,Anti-transgender,Gender
38,2019,Feb,Mon,2019-02-04,60,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
39,2019,Mar,Fri,2019-03-29,79,Brooklyn north,KINGS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
40,2019,Jul,Sat,2019-07-13,76,Brooklyn south,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
41,2019,Nov,Sun,2019-11-24,66,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
42,2020,Jan,Tue,2020-01-21,71,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
43,2020,Dec,Mon,2020-12-28,90,Brooklyn north,KINGS,Misdemeanor,Anti-female,Gender
44,2021,May,Fri,2021-05-14,62,Brooklyn south,KINGS,Felony,Anti-catholic,Religion
45,2019,Feb,Fri,2019-02-08,46,Bronx,BRONX,Felony,Anti-male homosexual (gay),Sexual Orientation
46,2020,Feb,Thu,2020-02-06,44,Bronx,BRONX,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
47,2020,Apr,Sun,2020-04-12,49,Bronx,BRONX,Felony,Anti-jewish,Religion
48,2021,Apr,Sun,2021-04-25,50,Bronx,BRONX,Misdemeanor,Anti-jewish,Religion
49,2021,Sep,Mon,2021-09-06,47,Bronx,BRONX,Felony,Anti-jewish,Religion
50,2022,Nov,Mon,2022-11-07,45,Bronx,BRONX,Felony,Anti-jewish,Religion
51,2019,Oct,Mon,2019-10-21,76,Brooklyn south,KINGS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
52,2019,Nov,Sun,2019-11-24,66,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
53,2020,Jan,Wed,2020-01-01,90,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
54,2020,May,Thu,2020-05-21,66,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
55,2021,Jan,Sat,2021-01-02,90,Brooklyn north,KINGS,Misdemeanor,Anti-female,Gender
56,2021,Sep,Sun,2021-09-12,79,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
57,2022,Feb,Fri,2022-02-18,78,Brooklyn south,KINGS,Misdemeanor,Anti-other ethnicity,Cultural Identity
58,2022,Feb,Wed,2022-02-09,90,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
59,2022,May,Sat,2022-05-14,70,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
60,2022,Apr,Sat,2022-04-02,90,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
61,2022,Jan,Fri,2022-01-21,75,Brooklyn north,KINGS,Misdemeanor,Anti-transgender,Gender
62,2021,Nov,Tue,2021-11-02,62,Brooklyn south,KINGS,Felony,Anti-asian,Race/Color
63,2022,Jul,Sun,2022-07-17,84,Brooklyn north,KINGS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
64,2022,May,Fri,2022-07-29,72,Brooklyn south,KINGS,Misdemeanor,Anti-female homosexual (lesbian),Sexual Orientation
65,2022,Aug,Mon,2022-08-08,78,Brooklyn south,KINGS,Misdemeanor,Anti-other ethnicity,Cultural Identity
66,2022,Sep,Thu,2022-09-29,81,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
67,2022,Sep,Sat,2022-10-01,90,Brooklyn north,KINGS,Misdemeanor,Anti-other ethnicity,Cultural Identity
68,2023,Jan,Mon,2023-01-30,68,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
69,2023,May,Wed,2023-05-24,84,Brooklyn north,KINGS,Misdemeanor,Anti-asian,Race/Color
70,2023,Mar,Wed,2023-03-29,90,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
71,2023,Jul,Tue,2023-07-11,84,Brooklyn north,KINGS,Misdemeanor,Anti-hispanic,Cultural Identity
72,2023,Sep,Sat,2023-09-16,71,Brooklyn south,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
73,2023,Sep,Fri,2023-09-15,68,Brooklyn south,KINGS,Misdemeanor,Anti-female homosexual (lesbian),Sexual Orientation
74,2023,Oct,Tue,2023-10-24,63,Brooklyn south,KINGS,Misdemeanor,Anti-gender non-conforming,Gender
75,2022,Mar,Tue,2022-03-15,79,Brooklyn north,KINGS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
76,2022,Apr,Sat,2022-04-02,90,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
77,2022,May,Sat,2022-05-14,75,Brooklyn north,KINGS,Misdemeanor,Anti-hispanic,Cultural Identity
78,2022,May,Tue,2022-05-10,70,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
79,2022,Jul,Fri,2022-07-08,77,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
80,2022,Sep,Sat,2022-10-01,90,Brooklyn north,KINGS,Misdemeanor,Anti-other ethnicity,Cultural Identity
81,2022,Sep,Sat,2022-10-01,90,Brooklyn north,KINGS,Misdemeanor,Anti-other ethnicity,Cultural Identity
82,2022,Jul,Mon,2022-07-25,61,Brooklyn south,KINGS,Felony,Anti-eastern orthodox,Religion
83,2022,Dec,Mon,2022-12-05,67,Brooklyn south,KINGS,Misdemeanor,Anti-black,Race/Color
84,2023,May,Tue,2023-05-02,84,Brooklyn north,KINGS,Felony,Anti-catholic,Religion
85,2023,Jun,Tue,2023-06-27,94,Brooklyn north,KINGS,Misdemeanor,Anti-black,Race/Color
86,2023,Sep,Tue,2023-09-05,70,Brooklyn south,KINGS,Felony,Anti-male,Gender
87,2023,Oct,Mon,2023-10-23,79,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
88,2023,Nov,Sat,2023-11-25,70,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
89,2023,Oct,Thu,2023-10-26,62,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
90,2024,Jan,Wed,2024-01-03,71,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
91,2021,May,Sun,2021-05-16,72,Brooklyn south,KINGS,Felony,Anti-catholic,Religion
92,2021,May,Sun,2021-05-23,70,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
93,2022,Sep,Fri,2022-09-30,90,Brooklyn north,KINGS,Misdemeanor,Anti-other ethnicity,Cultural Identity
94,2023,Apr,Tue,2023-04-25,71,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
95,2023,Jun,Sun,2023-06-11,94,Brooklyn north,KINGS,Misdemeanor,Anti-black,Race/Color
96,2023,Oct,Tue,2023-10-17,61,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
97,2023,Dec,Mon,2023-12-18,79,Brooklyn north,KINGS,Felony,Anti-muslim,Religion
98,2023,Sep,Fri,2023-09-29,60,Brooklyn south,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
99,2024,Feb,Sat,2024-02-17,70,Brooklyn south,KINGS,Misdemeanor,Anti-transgender,Gender
100,2024,Apr,Sun,2024-04-07,75,Brooklyn north,KINGS,Misdemeanor,Anti-other ethnicity,Cultural Identity
101,2024,Jun,Wed,2024-06-12,76,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
102,2024,Sep,Mon,2024-09-23,66,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
103,2024,Mar,Tue,2024-09-03,79,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
104,2019,Mar,Wed,2019-03-13,14,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
105,2019,Jun,Tue,2019-06-11,25,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
106,2022,May,Sat,2022-05-07,69,Brooklyn south,KINGS,Misdemeanor,Anti-black,Race/Color
107,2022,Feb,Thu,2022-02-24,90,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
108,2022,Aug,Fri,2022-08-26,79,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
109,2022,Sep,Sat,2022-10-01,90,Brooklyn north,KINGS,Misdemeanor,Anti-other ethnicity,Cultural Identity
110,2022,Nov,Tue,2022-11-08,79,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
111,2023,Mar,Fri,2023-03-31,70,Brooklyn south,KINGS,Misdemeanor,Anti-black,Race/Color
112,2023,Apr,Fri,2023-04-14,70,Brooklyn south,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
113,2023,May,Tue,2023-05-30,78,Brooklyn south,KINGS,Misdemeanor,Anti-white,Race/Color
114,2023,May,Mon,2023-05-15,61,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
115,2023,Nov,Wed,2023-11-22,77,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
116,2023,Dec,Fri,2023-12-15,90,Brooklyn north,KINGS,Felony,Anti-asian,Race/Color
117,2023,Dec,Thu,2023-12-21,83,Brooklyn north,KINGS,Felony,Anti-other ethnicity,Cultural Identity
118,2023,Dec,Tue,2023-12-19,75,Brooklyn north,KINGS,Felony,Anti-muslim,Religion
119,2023,Oct,Tue,2023-10-17,66,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
120,2024,May,Fri,2024-05-24,61,Brooklyn south,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
121,2022,Jul,Sun,2022-07-17,78,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
122,2022,May,Sat,2022-11-05,83,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
123,2022,Nov,Tue,2022-11-08,61,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
124,2023,Dec,Sat,2023-12-02,70,Brooklyn south,KINGS,Misdemeanor,Anti-black,Race/Color
125,2023,Nov,Wed,2023-11-22,90,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
126,2023,Dec,Tue,2023-12-19,75,Brooklyn north,KINGS,Felony,Anti-muslim,Religion
127,2024,Jan,Wed,2024-01-31,63,Brooklyn south,KINGS,Felony,Anti-catholic,Religion
128,2024,Mar,Sun,2024-03-24,90,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
129,2024,Mar,Tue,2024-03-05,61,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
130,2023,Dec,Thu,2023-12-07,71,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
131,2024,Aug,Wed,2024-08-07,90,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
132,2024,Aug,Sat,2024-08-10,71,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
133,2024,Aug,Thu,2024-08-08,71,Brooklyn south,KINGS,Misdemeanor,Anti-muslim,Religion
134,2024,Aug,Fri,2024-08-02,70,Brooklyn south,KINGS,Misdemeanor,Anti-other ethnicity,Cultural Identity
135,2024,Sep,Mon,2024-09-23,66,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
136,2023,Nov,Wed,2023-11-08,71,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
137,2024,Jan,Wed,2024-01-31,63,Brooklyn south,KINGS,Felony,Anti-catholic,Religion
138,2024,Apr,Mon,2024-04-15,90,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
139,2024,May,Tue,2024-05-14,62,Brooklyn south,KINGS,Felony,Anti-asian,Race/Color
140,2024,Jun,Mon,2024-06-10,62,Brooklyn south,KINGS,Felony,Anti-catholic,Religion
141,2024,Aug,Wed,2024-08-07,90,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
142,2024,Jul,Mon,2024-07-29,71,Brooklyn south,KINGS,Misdemeanor,Anti-muslim,Religion
143,2024,Jul,Mon,2024-07-29,71,Brooklyn south,KINGS,Felony,Anti-muslim,Religion
144,2024,Aug,Sat,2024-08-03,71,Brooklyn south,KINGS,Misdemeanor,Anti-muslim,Religion
145,2024,Aug,Wed,2024-08-21,71,Brooklyn south,KINGS,Misdemeanor,Anti-other ethnicity,Cultural Identity
146,2024,Sep,Mon,2024-09-23,66,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
147,2020,Mar,Mon,2020-03-16,13,Manhattan south,NEW YORK,Misdemeanor,Anti-asian,Race/Color
148,2020,May,Tue,2020-05-05,10,Manhattan south,NEW YORK,Felony,Anti-male homosexual (gay),Sexual Orientation
149,2021,Apr,Tue,2021-04-13,17,Manhattan south,NEW YORK,Misdemeanor,Anti-asian,Race/Color
150,2021,May,Tue,2021-05-18,18,Manhattan south,NEW YORK,Felony,Anti-asian,Race/Color
151,2019,Aug,Thu,2019-08-29,13,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
152,2020,May,Sun,2020-05-24,6,Manhattan south,NEW YORK,Felony,Anti-asian,Race/Color
153,2021,Jan,Thu,2021-01-21,13,Manhattan south,NEW YORK,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
154,2021,Apr,Thu,2021-04-29,34,Manhattan north,NEW YORK,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
155,2021,Jun,Fri,2021-06-04,24,Manhattan north,NEW YORK,Felony,Anti-gender non-conforming,Gender
156,2021,Mar,Tue,2021-03-02,7,Manhattan south,NEW YORK,Felony,Anti-asian,Race/Color
157,2021,Jul,Fri,2021-07-23,25,Manhattan north,NEW YORK,Felony,Anti-male homosexual (gay),Sexual Orientation
158,2021,Sep,Sun,2021-09-12,7,Manhattan south,NEW YORK,Misdemeanor,Anti-white,Race/Color
159,2021,Sep,Thu,2021-09-23,14,Manhattan south,NEW YORK,Misdemeanor,Anti-black,Race/Color
160,2021,Dec,Mon,2021-12-06,14,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
161,2022,Feb,Thu,2022-02-24,19,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
162,2022,Feb,Sun,2022-02-27,14,Manhattan south,NEW YORK,Misdemeanor,Anti-asian,Race/Color
163,2022,May,Wed,2022-05-04,5,Manhattan south,NEW YORK,Misdemeanor,Anti-other ethnicity,Cultural Identity
164,2022,May,Fri,2022-05-06,18,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
165,2022,Jul,Sun,2022-07-31,14,Manhattan south,NEW YORK,Felony,Anti-asian,Race/Color
166,2022,May,Thu,2022-05-05,70,Brooklyn south,KINGS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
167,2024,May,Mon,2024-05-13,79,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
168,2024,May,Fri,2024-05-17,71,Brooklyn south,KINGS,Misdemeanor,Anti-muslim,Religion
169,2019,Jul,Thu,2019-07-18,5,Manhattan south,NEW YORK,Misdemeanor,Anti-white,Race/Color
170,2019,Sep,Thu,2019-09-05,25,Manhattan north,NEW YORK,Felony,Anti-female homosexual (lesbian),Sexual Orientation
171,2020,Jan,Fri,2020-01-17,18,Manhattan south,NEW YORK,Misdemeanor,Anti-jewish,Religion
172,2021,Apr,Fri,2021-05-14,7,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
173,2021,May,Fri,2021-05-21,14,Manhattan south,NEW YORK,Misdemeanor,Anti-jewish,Religion
174,2021,Jul,Sun,2021-07-11,14,Manhattan south,NEW YORK,Felony,Anti-asian,Race/Color
175,2021,Sep,Sat,2021-09-11,14,Manhattan south,NEW YORK,Felony,Anti-male homosexual (gay),Sexual Orientation
176,2021,Dec,Mon,2021-12-27,14,Manhattan south,NEW YORK,Felony,Anti-asian,Race/Color
177,2022,Jan,Fri,2022-01-21,7,Manhattan south,NEW YORK,Misdemeanor,Anti-asian,Race/Color
178,2022,Mar,Tue,2022-03-08,9,Manhattan south,NEW YORK,Misdemeanor,Anti-jewish,Religion
179,2022,Jun,Sat,2022-06-11,6,Manhattan south,NEW YORK,Misdemeanor,Anti-asian,Race/Color
180,2022,Jun,Sun,2022-06-19,6,Manhattan south,NEW YORK,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
181,2022,Jul,Thu,2022-07-28,14,Manhattan south,NEW YORK,Felony,Anti-asian,Race/Color
182,2021,Feb,Sat,2021-02-06,6,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
183,2024,Sep,Fri,2024-09-27,90,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
184,2019,Feb,Sat,2019-02-09,18,Manhattan south,NEW YORK,Felony,Anti-black,Race/Color
185,2019,Oct,Sat,2019-10-05,18,Manhattan south,NEW YORK,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
186,2020,Jan,Fri,2020-01-24,30,Manhattan north,NEW YORK,Misdemeanor,Anti-lgbt (mixed group),Sexual Orientation
187,2020,Aug,Tue,2020-08-25,32,Manhattan north,NEW YORK,Felony,Anti-white,Race/Color
188,2020,Jan,Tue,2020-06-30,10,Manhattan south,NEW YORK,Felony,Anti-male homosexual (gay),Sexual Orientation
189,2021,Mar,Mon,2021-03-22,5,Manhattan south,NEW YORK,Felony,Anti-asian,Race/Color
190,2021,Jun,Fri,2021-06-18,19,Manhattan north,NEW YORK,Misdemeanor,Anti-asian,Race/Color
191,2021,May,Thu,2021-05-20,18,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
192,2021,Aug,Thu,2021-08-26,32,Manhattan north,NEW YORK,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
193,2021,Sep,Sat,2021-09-04,83,Brooklyn north,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
194,2021,Dec,Tue,2021-12-14,1,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
195,2022,Jan,Wed,2022-01-26,25,Manhattan north,NEW YORK,Violation,Anti-hispanic,Cultural Identity
196,2022,Feb,Sun,2022-02-20,10,Manhattan south,NEW YORK,Felony,Anti-male homosexual (gay),Sexual Orientation
197,2022,Apr,Fri,2022-04-15,18,Manhattan south,NEW YORK,Felony,Anti-other ethnicity,Cultural Identity
198,2022,Jun,Sat,2022-06-11,6,Manhattan south,NEW YORK,Misdemeanor,Anti-asian,Race/Color
199,2022,Mar,Thu,2022-03-17,46,Bronx,BRONX,Felony,Anti-male homosexual (gay),Sexual Orientation
200,2022,May,Fri,2022-05-13,52,Bronx,BRONX,Misdemeanor,Anti-transgender,Gender
201,2021,Nov,Sat,2021-12-04,50,Bronx,BRONX,Misdemeanor,Anti-jewish,Religion
202,2023,Nov,Wed,2023-11-22,52,Bronx,BRONX,Felony,Anti-male homosexual (gay),Sexual Orientation
203,2019,Jan,Wed,2019-01-30,71,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
204,2019,Mar,Mon,2019-03-11,67,Brooklyn south,KINGS,Felony,Anti-hispanic,Cultural Identity
205,2019,Apr,Mon,2019-04-08,75,Brooklyn north,KINGS,Felony,Anti-female homosexual (lesbian),Sexual Orientation
206,2019,Oct,Wed,2019-10-30,67,Brooklyn south,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
207,2019,Nov,Wed,2019-11-06,75,Brooklyn north,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
208,2020,Jun,Sat,2020-06-27,94,Brooklyn north,KINGS,Felony,Anti-white,Race/Color
209,2020,Nov,Tue,2020-11-17,90,Brooklyn north,KINGS,Misdemeanor,Anti-female,Gender
210,2020,Dec,Sat,2020-12-26,70,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
211,2021,Jun,Fri,2021-06-11,60,Brooklyn south,KINGS,Felony,Anti-hispanic,Cultural Identity
212,2022,Jan,Fri,2022-01-14,63,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
213,2022,Feb,Mon,2022-02-07,62,Brooklyn south,KINGS,Misdemeanor,Anti-asian,Race/Color
214,2021,Jun,Mon,2021-06-21,26,Manhattan north,NEW YORK,Misdemeanor,Anti-catholic,Religion
215,2021,Jul,Thu,2021-07-22,13,Manhattan south,NEW YORK,Felony,Anti-other ethnicity,Cultural Identity
216,2022,Feb,Thu,2022-02-24,33,Manhattan north,NEW YORK,Felony,Anti-transgender,Gender
217,2022,Feb,Mon,2022-02-28,13,Manhattan south,NEW YORK,Misdemeanor,Anti-asian,Race/Color
218,2022,May,Fri,2022-05-06,18,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
219,2022,Jul,Wed,2022-07-13,25,Manhattan north,NEW YORK,Misdemeanor,Anti-black,Race/Color
220,2021,Jun,Fri,2021-06-25,1,Manhattan south,NEW YORK,Misdemeanor,Anti-jewish,Religion
221,2022,Sep,Sun,2022-09-11,10,Manhattan south,NEW YORK,Misdemeanor,Anti-other ethnicity,Cultural Identity
222,2023,Jan,Sat,2023-01-07,7,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
223,2023,Jan,Tue,2023-01-17,28,Manhattan north,NEW YORK,Felony,Anti-black,Race/Color
224,2023,Jan,Wed,2023-01-18,5,Manhattan south,NEW YORK,Felony,Anti-asian,Race/Color
225,2023,Feb,Mon,2023-02-13,28,Manhattan north,NEW YORK,Misdemeanor,Anti-hispanic,Cultural Identity
226,2022,Aug,Thu,2022-08-25,14,Manhattan south,NEW YORK,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
227,2023,Mar,Tue,2023-03-28,18,Manhattan south,NEW YORK,Misdemeanor,Anti-black,Race/Color
228,2023,Mar,Thu,2023-03-16,24,Manhattan north,NEW YORK,Misdemeanor,Anti-asian,Race/Color
229,2019,Aug,Mon,2019-08-05,47,Bronx,BRONX,Misdemeanor,Anti-transgender,Gender
230,2019,Oct,Tue,2019-10-22,43,Bronx,BRONX,Felony,Anti-muslim,Religion
231,2021,Apr,Sun,2021-04-25,50,Bronx,BRONX,Misdemeanor,Anti-jewish,Religion
232,2022,Jun,Wed,2022-06-01,40,Bronx,BRONX,Felony,Anti-male homosexual (gay),Sexual Orientation
233,2022,Aug,Sat,2022-08-20,49,Bronx,BRONX,Misdemeanor,Anti-asian,Race/Color
234,2023,Nov,Mon,2023-08-28,41,Bronx,BRONX,Misdemeanor,Anti-black,Race/Color
235,2022,Oct,Fri,2022-10-28,45,Bronx,BRONX,Felony,Anti-jewish,Religion
236,2019,Mar,Fri,2019-03-22,75,Brooklyn north,KINGS,Misdemeanor,Anti-black,Race/Color
237,2020,Feb,Sat,2020-02-08,72,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
238,2020,Mar,Tue,2020-03-24,78,Brooklyn south,KINGS,Misdemeanor,Anti-asian,Race/Color
239,2020,Dec,Sun,2020-12-27,70,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
240,2021,Mar,Tue,2021-03-23,61,Brooklyn south,KINGS,Misdemeanor,Anti-asian,Race/Color
241,2021,May,Sat,2021-05-22,66,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
242,2021,May,Sun,2021-05-23,66,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
243,2021,Sep,Fri,2021-09-17,68,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
244,2019,Mar,Fri,2019-03-08,48,Bronx,BRONX,Misdemeanor,Anti-white,Race/Color
245,2021,Apr,Fri,2021-04-23,50,Bronx,BRONX,Felony,Anti-jewish,Religion
246,2021,Apr,Sun,2021-04-25,50,Bronx,BRONX,Misdemeanor,Anti-jewish,Religion
247,2021,Apr,Thu,2021-04-22,50,Bronx,BRONX,Misdemeanor,Anti-jewish,Religion
248,2022,May,Wed,2022-05-11,43,Bronx,BRONX,Misdemeanor,Anti-muslim,Religion
249,2024,Apr,Mon,2024-04-22,44,Bronx,BRONX,Misdemeanor,Anti-other ethnicity,Cultural Identity
250,2019,Jan,Wed,2019-01-30,71,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
251,2019,Jul,Sat,2019-07-27,84,Brooklyn north,KINGS,Misdemeanor,Anti-black,Race/Color
252,2019,Dec,Fri,2019-12-27,71,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
253,2020,May,Thu,2020-05-07,75,Brooklyn north,KINGS,Felony,Anti-transgender,Gender
